hazard = x=-0.12139514212085345,y=-65.33025593136867,label= 0, type=benign
hazard = x=99.16136872336094,y=-304.28493093039833,label= 68, type=benign
hazard = x=32.03469263596519,y=-178.05377096028326,label= 69, type=benign
hazard = x=132.0913601360652,y=-236.69215580932573,label= 70, type=benign
hazard = x=-23.230262007721848,y=-115.76035994452417,label= 71, type=benign
hazard = x=-65.74543340736044,y=-55.368073324631624,label= 72, type=benign
hazard = x=17.007016126783455,y=-77.78169493149645,label= 73, type=benign
hazard = x=60.99476901748141,y=-37.39973740349156,label= 74, type=benign
hazard = x=-41.556651752355904,y=66.89678536157636,label= 75, type=benign
hazard = x=151.72711218289015,y=-213.57890276144568,label= 76, type=benign
hazard = x=-30.441499931144463,y=-59.095357954516146,label= 77, type=benign
hazard = x=70.77600379816518,y=-275.6263225512066,label= 78, type=benign
hazard = x=121.63699592941094,y=-256.87311890052683,label= 79, type=benign
hazard = x=-12.683370200260363,y=-241.01178301544354,label= 80, type=benign
hazard = x=77.30699829974648,y=-215.40997469871184,label= 81, type=benign
hazard = x=109.20407648915024,y=-193.08359067079468,label= 82, type=benign
hazard = x=248.22293298799508,y=-233.0816011831797,label= 83, type=benign
hazard = x=4.2279366385815536,y=-98.87206305424284,label= 84, type=benign
hazard = x=-67.47150583861212,y=-20.139870191087,label= 85, type=benign
hazard = x=-42.3684855247531,y=-26.13770237658069,label= 86, type=benign
hazard = x=97.5500786305178,y=-44.07747019340343,label= 87, type=benign
hazard = x=-80.53592475986659,y=16.643547505091764,label= 88, type=benign
hazard = x=-41.10306680393752,y=17.2904755862389,label= 89, type=benign
hazard = x=39.4452774086877,y=19.922046793105505,label= 90, type=benign
hazard = x=73.74477480079015,y=-311.9977425567303,label= 91, type=benign
hazard = x=161.0613069880718,y=-263.1871009857955,label= 92, type=benign
hazard = x=-33.0321327759484,y=-176.44604304955834,label= 93, type=benign
hazard = x=45.60655541046253,y=-239.87056604888667,label= 94, type=benign
hazard = x=118.48604843575251,y=-166.89632825658077,label= 95, type=benign
hazard = x=205.4188250557766,y=-197.59033169281753,label= 96, type=benign
hazard = x=-48.68033272629094,y=-105.32136350888854,label= 97, type=benign
hazard = x=-65.18425130953203,y=-55.45363271222222,label= 98, type=benign
hazard = x=16.69389859313344,y=-47.584238923292276,label= 99, type=benign
hazard = x=63.764425024627144,y=-79.30924324051205,label= 100, type=benign
hazard = x=-126.2860380123166,y=63.65129109730617,label= 101, type=benign
hazard = x=-18.35346832892393,y=39.71999028922781,label= 102, type=benign
hazard = x=39.98930076604077,y=60.02083146586932,label= 103, type=benign
hazard = x=56.232165592497225,y=-245.0305863387372,label= 104, type=benign
hazard = x=134.82292163432152,y=-248.27837502224554,label= 105, type=benign
hazard = x=22.147848106248468,y=-187.76865557355697,label= 106, type=benign
hazard = x=120.68227587626943,y=-216.5513499423137,label= 107, type=benign
hazard = x=-46.84668574218939,y=-133.67703679518513,label= 108, type=benign
hazard = x=-87.852934655271,y=-26.03234642125907,label= 109, type=benign
hazard = x=-57.726161055952325,y=-31.286155950672736,label= 110, type=benign
hazard = x=72.14462656376386,y=-30.4183167025622,label= 111, type=benign
hazard = x=-13.615520923215861,y=60.00942479189243,label= 112, type=benign
hazard = x=76.93120541150472,y=-258.68934224964437,label= 113, type=benign
hazard = x=132.5647635634383,y=-280.0746351928749,label= 114, type=benign
hazard = x=86.74321712403649,y=-208.26121223937537,label= 115, type=benign
hazard = x=161.347902254821,y=-220.89110929448776,label= 116, type=benign
hazard = x=16.874629258845943,y=-151.74462095489912,label= 117, type=benign
hazard = x=-138.45924639511236,y=-47.57019336118668,label= 118, type=benign
hazard = x=-49.961520585896885,y=-8.832681612215353,label= 119, type=benign
hazard = x=93.32668975261488,y=-82.29318254214444,label= 120, type=benign
hazard = x=-54.26179923529797,y=45.64262078091447,label= 121, type=benign
hazard = x=25.834813203212875,y=-256.56072714444815,label= 122, type=benign
hazard = x=121.39298641010814,y=-293.2319551772634,label= 123, type=benign
hazard = x=89.89460897701153,y=-214.56641019171616,label= 124, type=benign
hazard = x=174.2078178413439,y=-201.7726509873862,label= 125, type=benign
hazard = x=-44.08805548254712,y=-90.31842485926245,label= 126, type=benign
hazard = x=-89.1040110630503,y=-17.225499732346435,label= 127, type=benign
hazard = x=-35.05377149224958,y=-28.594070307860264,label= 128, type=benign
hazard = x=39.22770384779236,y=-35.90145720625412,label= 129, type=benign
hazard = x=2.8987510214090904,y=20.339473641942657,label= 130, type=benign
hazard = x=79.78909597864624,y=-312.9959670603857,label= 131, type=benign
hazard = x=149.0207870242578,y=-317.1686802124814,label= 132, type=benign
hazard = x=-50.372406923281815,y=-193.9566143308683,label= 133, type=benign
hazard = x=97.78319107795312,y=-219.68890890211523,label= 134, type=benign
hazard = x=155.43412496860276,y=-203.0414835888206,label= 135, type=benign
hazard = x=181.7611235568784,y=-230.33510696372903,label= 136, type=benign
hazard = x=-56.607297040466094,y=-86.08094057373157,label= 137, type=benign
hazard = x=-88.70918964972347,y=-82.31528607587947,label= 138, type=benign
hazard = x=-31.722827550988026,y=-74.74095094105402,label= 139, type=benign
hazard = x=37.34339227491124,y=-36.25454895217355,label= 140, type=benign
hazard = x=-118.21635224176077,y=-2.011355796427022,label= 141, type=benign
hazard = x=-59.32839193856363,y=68.8362199266268,label= 142, type=benign
hazard = x=25.122244697140474,y=22.99030039100826,label= 143, type=benign
hazard = x=-66.58637641118496,y=-282.53052499076233,label= 144, type=benign
hazard = x=-41.80759161326014,y=-284.87670128122994,label= 145, type=benign
hazard = x=63.12437536211264,y=-306.09096155872487,label= 146, type=benign
hazard = x=164.66045660850486,y=-322.32144049185024,label= 147, type=benign
hazard = x=206.12283581328649,y=-267.3924890736329,label= 148, type=benign
hazard = x=-74.01824684673329,y=-210.3575693109145,label= 149, type=benign
hazard = x=-27.70931343925986,y=-185.45795157549773,label= 150, type=benign
hazard = x=63.41559506254288,y=-207.80803437357756,label= 151, type=benign
hazard = x=168.48999920847552,y=-191.9830252079154,label= 152, type=benign
hazard = x=208.25331347328404,y=-188.52617399802847,label= 153, type=benign
hazard = x=-85.68571044894144,y=-109.2655528270408,label= 154, type=benign
hazard = x=10.213391387125597,y=-124.28779442751542,label= 155, type=benign
hazard = x=83.57594063463362,y=-149.02166483434723,label= 156, type=benign
hazard = x=127.0392741287566,y=-125.20409359539153,label= 157, type=benign
hazard = x=216.29915617039492,y=-108.41621608043111,label= 158, type=benign
hazard = x=-66.88996592179221,y=-43.36307552114023,label= 159, type=benign
hazard = x=3.760456138481814,y=-22.4056718432769,label= 160, type=benign
hazard = x=52.04347576946366,y=-8.877891205869503,label= 161, type=benign
hazard = x=167.27152766184014,y=-23.47337582766078,label= 162, type=benign
hazard = x=254.86470818693817,y=-76.3438136222099,label= 163, type=benign
hazard = x=-96.68373111580301,y=41.820907566979145,label= 164, type=benign
hazard = x=-56.70786262732703,y=65.8299823660746,label= 165, type=benign
hazard = x=65.39012048836267,y=61.026278452356635,label= 166, type=benign
hazard = x=161.08188318304298,y=15.861572278538937,label= 167, type=benign
hazard = x=245.1438748864658,y=73.52372318480029,label= 168, type=benign
hazard = x=154.33060725818706,y=-225.14437319627012,label= 169, type=benign
hazard = x=-57.588646178695384,y=-18.723244021773823,label= 170, type=benign
hazard = x=60.85266908428706,y=-256.3358439218558,label= 171, type=benign
hazard = x=123.07803995434973,y=-277.6758024270383,label= 172, type=benign
hazard = x=-23.891948987149824,y=-199.37073739428936,label= 173, type=benign
hazard = x=51.63571148492956,y=-232.26573491376698,label= 174, type=benign
hazard = x=105.70352596311534,y=-236.2209864653023,label= 175, type=benign
hazard = x=190.25166525802996,y=-214.75229985653564,label= 176, type=benign
hazard = x=-21.943231044562097,y=-159.19706947348243,label= 177, type=benign
hazard = x=-123.48999893386934,y=-67.13161390721889,label= 178, type=benign
hazard = x=12.205705817132213,y=-13.859566930992557,label= 179, type=benign
hazard = x=50.46832678859625,y=-21.30818748562352,label= 180, type=benign
hazard = x=-66.0641123503509,y=62.24081776864155,label= 181, type=benign
hazard = x=-48.60987952420366,y=-0.6221571564865922,label= 182, type=benign
hazard = x=41.47241059905263,y=62.788372572105075,label= 183, type=benign
hazard = x=176.63803837938957,y=-320.2547416526874,label= 184, type=benign
hazard = x=90.2727917116845,y=-176.70396617693117,label= 185, type=benign
hazard = x=178.1894751693057,y=-240.22121411329206,label= 186, type=benign
hazard = x=-74.17800023602403,y=-31.026651576075658,label= 187, type=benign
hazard = x=-10.694049327153742,y=-60.16560285844349,label= 188, type=benign
hazard = x=-44.473352841688154,y=8.39251808539418,label= 189, type=benign
hazard = x=172.77393575232486,y=-298.0927726336086,label= 190, type=benign
hazard = x=148.21978196604914,y=-214.85860422397016,label= 191, type=benign
hazard = x=-48.762736005626785,y=-40.99035142187958,label= 192, type=benign
hazard = x=3.3543382639371373,y=37.10193261998976,label= 193, type=benign
hazard = x=-57.838351800764535,y=-67.2275774037874,label= 194, type=benign
hazard = x=60.75752681623487,y=-246.86164237213927,label= 195, type=benign
hazard = x=164.47909304524106,y=-252.3994801879889,label= 196, type=benign
hazard = x=-32.75386953650491,y=-203.1353593198224,label= 197, type=benign
hazard = x=62.07431261731358,y=-212.34380639576833,label= 198, type=benign
hazard = x=108.80541397256047,y=-190.11954933424204,label= 199, type=benign
hazard = x=189.07034579432587,y=-200.6641578281184,label= 200, type=benign
hazard = x=-14.864415338133583,y=-99.87803528641471,label= 201, type=benign
hazard = x=-137.4583763705841,y=-56.52749797332858,label= 202, type=benign
hazard = x=18.00240909938276,y=-48.670443238390824,label= 203, type=benign
hazard = x=91.58738986748271,y=-42.06213964730273,label= 204, type=benign
hazard = x=-130.3700902257409,y=65.49451655146649,label= 205, type=benign
hazard = x=-5.167774149961488,y=11.21786392318437,label= 206, type=benign
hazard = x=97.45068756909517,y=17.428060838870337,label= 207, type=benign
hazard = x=24.65126665292628,y=-244.1897057542506,label= 208, type=benign
hazard = x=116.73483769206763,y=-288.9314285353395,label= 209, type=benign
hazard = x=19.175696331034008,y=-191.496358732368,label= 210, type=benign
hazard = x=156.64129943076196,y=-188.96147881949696,label= 211, type=benign
hazard = x=-37.46892269420356,y=-95.67335245712464,label= 212, type=benign
hazard = x=-126.47853632373328,y=-37.316948986315744,label= 213, type=benign
hazard = x=-41.02675456988981,y=-62.205064868893956,label= 214, type=benign
hazard = x=51.407988403250016,y=-13.37740549161299,label= 215, type=benign
hazard = x=6.517689085879184,y=9.034607198253507,label= 216, type=benign
hazard = x=56.87117124818173,y=-322.5176155620367,label= 217, type=benign
hazard = x=146.2268974819491,y=-245.4204680516865,label= 218, type=benign
hazard = x=55.12368872061105,y=-174.96253514730418,label= 219, type=benign
hazard = x=123.98676720453736,y=-197.8919513193087,label= 220, type=benign
hazard = x=0.9446349169891164,y=-127.16077283224392,label= 221, type=benign
hazard = x=-81.81452800278676,y=-37.98070975648854,label= 222, type=benign
hazard = x=-8.696332593223325,y=-17.814908401876096,label= 223, type=benign
hazard = x=48.26196024322163,y=-72.45859063812769,label= 224, type=benign
hazard = x=0.030842842009384697,y=22.369140324606626,label= 225, type=benign
hazard = x=100.20367246527329,y=-270.4997173046901,label= 226, type=benign
hazard = x=161.69434755038424,y=-199.08920555427937,label= 227, type=benign
hazard = x=-35.76902265022872,y=-6.588412328577874,label= 228, type=benign
hazard = x=-12.420793992885017,y=65.17954417610177,label= 229, type=benign
hazard = x=-29.30051411558424,y=-61.41814601055272,label= 230, type=benign
hazard = x=165.77714103981975,y=-170.06734505327506,label= 231, type=benign
hazard = x=-24.454734671101477,y=-77.42458259244432,label= 232, type=benign
hazard = x=152.99592657040202,y=-297.73741027189345,label= 233, type=benign
hazard = x=121.98908103631237,y=-173.073487720912,label= 234, type=benign
hazard = x=-28.43496378257465,y=-30.586102858016986,label= 235, type=benign
hazard = x=-43.293339205740054,y=68.97098206997877,label= 236, type=benign
hazard = x=28.14565768296626,y=-315.8460353108345,label= 237, type=benign
hazard = x=129.020752963786,y=-265.2816818040902,label= 238, type=benign
hazard = x=251.82884321133596,y=-294.1572122234739,label= 239, type=benign
hazard = x=5.9301294421978525,y=-190.87459014036736,label= 240, type=benign
hazard = x=30.200120653314514,y=-238.56141454074697,label= 241, type=benign
hazard = x=108.79526171872409,y=-196.5289541541983,label= 242, type=benign
hazard = x=184.56629091570375,y=-181.94479731749558,label= 243, type=benign
hazard = x=-63.487718019532764,y=-159.20874224566592,label= 244, type=benign
hazard = x=-0.23264557200916158,y=-161.77624387314626,label= 245, type=benign
hazard = x=83.54741858258016,y=-124.90629353629195,label= 246, type=benign
hazard = x=151.60294506067407,y=-116.70700218436491,label= 247, type=benign
hazard = x=-103.21645711793471,y=-22.508514346258323,label= 248, type=benign
hazard = x=-51.20726912354054,y=-65.18698898693836,label= 249, type=benign
hazard = x=96.31090546723696,y=-41.01197594259379,label= 250, type=benign
hazard = x=156.47622015224,y=-33.115098523405536,label= 251, type=benign
hazard = x=-79.26338869537277,y=70.42463249790562,label= 252, type=benign
hazard = x=8.069624433104295,y=50.95834294621339,label= 253, type=benign
hazard = x=43.4736814768165,y=10.787111183644486,label= 254, type=benign
hazard = x=104.41526489547378,y=-177.58634871907728,label= 255, type=benign
hazard = x=-33.42117606286618,y=-59.519715334599766,label= 256, type=benign
hazard = x=52.0486988303958,y=-309.0366796268289,label= 257, type=benign
hazard = x=156.5472634282543,y=-266.7802410968309,label= 258, type=benign
hazard = x=-57.34781034921187,y=-220.87103091330243,label= 259, type=benign
hazard = x=92.22339428965178,y=-209.87435174504543,label= 260, type=benign
hazard = x=117.56250679841196,y=-193.50065260081766,label= 261, type=benign
hazard = x=255.7820616636585,y=-175.84351929277776,label= 262, type=benign
hazard = x=7.8040088481464664,y=-97.9812184843681,label= 263, type=benign
hazard = x=-101.69458673850295,y=-62.61615828587689,label= 264, type=benign
hazard = x=-22.381390677963275,y=-28.723607123332478,label= 265, type=benign
hazard = x=63.767758728756434,y=-74.0903923414944,label= 266, type=benign
hazard = x=-100.3989429998737,y=49.01869424749047,label= 267, type=benign
hazard = x=-3.608487008218539,y=53.39318162795708,label= 268, type=benign
hazard = x=31.99586334455934,y=71.33579537388165,label= 269, type=benign
hazard = x=-44.67500750744925,y=-61.90901675674621,label= 270, type=benign
hazard = x=127.38990237891025,y=-271.1073303809121,label= 271, type=benign
hazard = x=56.791544122250926,y=-165.022426141084,label= 272, type=benign
hazard = x=104.92543690816525,y=-176.3314083656871,label= 273, type=benign
hazard = x=-112.02300292054213,y=-81.53110743579705,label= 274, type=benign
hazard = x=-9.140855996294562,y=-20.45488889020639,label= 275, type=benign
hazard = x=-44.28419397886384,y=19.97268776603097,label= 276, type=benign
hazard = x=120.11734413465408,y=-181.82230246112044,label= 277, type=benign
hazard = x=-33.06587437005085,y=-25.35843169399503,label= 278, type=benign
hazard = x=-139.2310293732703,y=-252.3700244974754,label= 279, type=benign
hazard = x=-1.3200596882782776,y=-248.0135998513472,label= 280, type=benign
hazard = x=58.89543115935124,y=-289.61230496501645,label= 281, type=benign
hazard = x=155.7816314979728,y=-293.47991252276574,label= 282, type=benign
hazard = x=196.53078407992365,y=-287.34859989731,label= 283, type=benign
hazard = x=-107.59854475919556,y=-173.43837267938363,label= 284, type=benign
hazard = x=-48.94396654812399,y=-239.93569252177318,label= 285, type=benign
hazard = x=70.85501859407945,y=-201.65360149536025,label= 286, type=benign
hazard = x=153.59998688850493,y=-193.54821973468603,label= 287, type=benign
hazard = x=257.7427916279335,y=-183.72634846866598,label= 288, type=benign
hazard = x=-104.21053378772453,y=-125.14500679214626,label= 289, type=benign
hazard = x=-15.1168322163104,y=-88.33791307009054,label= 290, type=benign
hazard = x=48.27670859094397,y=-143.6046698236416,label= 291, type=benign
hazard = x=141.27538817882643,y=-129.22596605700673,label= 292, type=benign
hazard = x=239.3229069764935,y=-145.17300616443373,label= 293, type=benign
hazard = x=-88.05701531575042,y=-59.10689968005866,label= 294, type=benign
hazard = x=-4.983423996926362,y=-65.20935391264851,label= 295, type=benign
hazard = x=86.1820078908346,y=-4.682197479973013,label= 296, type=benign
hazard = x=168.93152028902583,y=-31.802652309225408,label= 297, type=benign
hazard = x=252.16352555550856,y=-68.74468175002693,label= 298, type=benign
hazard = x=-66.35444908458257,y=-0.020210607033451566,label= 299, type=benign
hazard = x=-10.567283364292194,y=4.727121056266105,label= 300, type=benign
hazard = x=95.25161469487443,y=36.83953768888938,label= 301, type=benign
hazard = x=111.53119401759142,y=73.62468699301012,label= 302, type=benign
hazard = x=233.77214471665914,y=49.94604032583579,label= 303, type=benign
hazard = x=34.35821969383201,y=-289.302735593588,label= 304, type=benign
hazard = x=129.38518013358015,y=-276.8053359353796,label= 305, type=benign
hazard = x=-42.358414541458956,y=-233.70551826864053,label= 306, type=benign
hazard = x=94.18371022433857,y=-178.29023062493462,label= 307, type=benign
hazard = x=150.16503062476866,y=-203.94571358299538,label= 308, type=benign
hazard = x=193.8724649155388,y=-166.78859784368296,label= 309, type=benign
hazard = x=-18.54297729768234,y=-151.2176138600245,label= 310, type=benign
hazard = x=-132.1613713219712,y=-39.80256501837094,label= 311, type=benign
hazard = x=-58.62854857682525,y=-54.38482453903738,label= 312, type=benign
hazard = x=39.32548526861902,y=-38.66149547964118,label= 313, type=benign
hazard = x=-140.99876101868438,y=42.38194002170551,label= 314, type=benign
hazard = x=-31.839581976575356,y=57.61802851126247,label= 315, type=benign
hazard = x=49.07940723890033,y=6.481936170262101,label= 316, type=benign
hazard = x=125.36173789797654,y=-193.17791817283987,label= 317, type=benign
hazard = x=17.533056436619745,y=-59.76947186602911,label= 318, type=benign
hazard = x=-7.148912510460036,y=-81.94980125100963,label= 319, type=benign
hazard = x=75.17631420551616,y=-305.7185182843133,label= 320, type=benign
hazard = x=111.16143083093976,y=-285.03383442365504,label= 321, type=benign
hazard = x=88.43953830349432,y=-223.47828986412574,label= 322, type=benign
hazard = x=110.69304611080503,y=-242.08071080040074,label= 323, type=benign
hazard = x=17.267027395684238,y=-86.84269161211482,label= 324, type=benign
hazard = x=-97.20144708184424,y=-4.603265981159822,label= 325, type=benign
hazard = x=-4.1993016294708525,y=-63.9052010061305,label= 326, type=benign
hazard = x=59.794583386496946,y=-8.343090400185588,label= 327, type=benign
hazard = x=-2.103677174776209,y=69.6826934822402,label= 328, type=benign
hazard = x=158.96210535389778,y=-308.5153635619748,label= 329, type=benign
hazard = x=159.4019435832436,y=-221.9496771812755,label= 330, type=benign
hazard = x=-3.5650265419927933,y=-40.299440442115994,label= 331, type=benign
hazard = x=-0.9742350695097883,y=56.30884739133236,label= 332, type=benign
hazard = x=66.33866275072836,y=-272.6055841783697,label= 333, type=benign
hazard = x=150.48815218598784,y=-290.4156965488276,label= 334, type=benign
hazard = x=-8.656754178262034,y=-183.04625348868592,label= 335, type=benign
hazard = x=69.0874182921954,y=-167.55278836198397,label= 336, type=benign
hazard = x=178.43474061525646,y=-202.3933759696576,label= 337, type=benign
hazard = x=201.7512828149559,y=-229.5638766741733,label= 338, type=benign
hazard = x=-10.645383038198723,y=-120.80477024118173,label= 339, type=benign
hazard = x=-93.03467012445185,y=-9.570827752140275,label= 340, type=benign
hazard = x=-31.536056051205193,y=-71.40139645118728,label= 341, type=benign
hazard = x=77.0124047685292,y=-33.96560317433588,label= 342, type=benign
hazard = x=-101.90928980506975,y=46.44909873633844,label= 343, type=benign
hazard = x=-33.4138870355273,y=16.91846763310655,label= 344, type=benign
hazard = x=89.38745054665937,y=13.620209568777383,label= 345, type=benign
hazard = x=-39.23027477212399,y=-64.38852323734085,label= 346, type=benign
hazard = x=142.15876557191928,y=-317.3948716472529,label= 347, type=benign
hazard = x=162.09958696204455,y=-222.28157852234386,label= 348, type=benign
hazard = x=15.598056798935914,y=-74.18921385886946,label= 349, type=benign
hazard = x=-12.053663925822761,y=41.44507639413016,label= 350, type=benign
hazard = x=110.16417737049882,y=-246.25718960254784,label= 351, type=benign
hazard = x=116.3589646196541,y=-224.21304028079544,label= 352, type=benign
hazard = x=-4.28847632476279,y=-50.31940528326754,label= 353, type=benign
hazard = x=-38.671684914816375,y=16.236185144655998,label= 354, type=benign
hazard = x=-44.464600437806894,y=-52.44521186559538,label= 355, type=benign
hazard = x=111.32730272487159,y=-300.1718565026325,label= 356, type=benign
hazard = x=123.98368447544482,y=-228.77118533608447,label= 357, type=benign
hazard = x=-24.064001265762073,y=-10.260277882377764,label= 358, type=benign
hazard = x=-22.556057691632432,y=51.669185177894846,label= 359, type=benign
hazard = x=174.19779732625483,y=-301.94876636027294,label= 360, type=benign
hazard = x=78.03489495231085,y=-219.75370437440432,label= 361, type=benign
hazard = x=174.43891151743375,y=-199.01060707612044,label= 362, type=benign
hazard = x=-73.94557051262973,y=-47.06049956962072,label= 363, type=benign
hazard = x=-8.444961252268023,y=-83.79404125647702,label= 364, type=benign
hazard = x=6.881153027033633,y=48.17367266035873,label= 365, type=benign
hazard = x=97.09293952099344,y=-277.50555700713505,label= 366, type=benign
hazard = x=115.91568980073107,y=-323.7370390890839,label= 367, type=benign
hazard = x=80.188596285035,y=-235.64782329584673,label= 368, type=benign
hazard = x=128.94077923897282,y=-199.11681491000076,label= 369, type=benign
hazard = x=-14.380581754675696,y=-123.23505187030244,label= 370, type=benign
hazard = x=-70.01751268117734,y=-12.179332290389667,label= 371, type=benign
hazard = x=-35.14145033750077,y=-29.008837856891574,label= 372, type=benign
hazard = x=55.28177688057292,y=-30.553932377076244,label= 373, type=benign
hazard = x=-6.397547635809616,y=61.41107859711312,label= 374, type=benign
hazard = x=27.852667236340316,y=-311.0466577095306,label= 375, type=benign
hazard = x=167.04664253810378,y=-276.7672660459245,label= 376, type=benign
hazard = x=0.09639514979384245,y=-229.6865809120327,label= 377, type=benign
hazard = x=41.13062601690022,y=-179.9645984367809,label= 378, type=benign
hazard = x=121.92462393096035,y=-198.8909429298856,label= 379, type=benign
hazard = x=245.04190729867602,y=-178.01403670102502,label= 380, type=benign
hazard = x=-28.750514833880985,y=-154.9584746791341,label= 381, type=benign
hazard = x=-121.5755019478755,y=-20.75496657183124,label= 382, type=benign
hazard = x=13.61483756518868,y=-59.721092240251586,label= 383, type=benign
hazard = x=38.48927868984315,y=-4.974330630555912,label= 384, type=benign
hazard = x=-122.9344287442263,y=39.50025431552757,label= 385, type=benign
hazard = x=-20.573273484757195,y=38.42364325797999,label= 386, type=benign
hazard = x=52.54977357554471,y=57.10793771139028,label= 387, type=benign
hazard = x=75.12562530361222,y=-275.73562831930315,label= 388, type=benign
hazard = x=116.77973493755452,y=-290.2932807493122,label= 389, type=benign
hazard = x=38.77123723784022,y=-227.59354101815362,label= 390, type=benign
hazard = x=122.74223548299292,y=-232.92693771238658,label= 391, type=benign
hazard = x=-44.25895027772954,y=-136.235482160643,label= 392, type=benign
hazard = x=-78.93990572367606,y=-46.16221214048549,label= 393, type=benign
hazard = x=-24.153295564381942,y=-53.134179553466176,label= 394, type=benign
hazard = x=20.063255295023637,y=-60.15830001273587,label= 395, type=benign
