hazard = x=159.87860485787914,y=-225.33025593136867,label= 0, type=benign
hazard = x=101.41171171159189,y=-187.56587503139724,label= 134, type=benign
hazard = x=14.223443380465241,y=-161.2388764431216,label= 135, type=benign
hazard = x=-6.347820774549078,y=-79.6072970404661,label= 136, type=benign
hazard = x=-88.70918964972347,y=-322.31528607587944,label= 137, type=benign
hazard = x=-31.722827550988026,y=-314.74095094105405,label= 138, type=benign
hazard = x=37.34339227491124,y=-276.25454895217354,label= 139, type=benign
hazard = x=121.78364775823923,y=-322.01135579642704,label= 140, type=benign
hazard = x=180.67160806143636,y=-251.1637800733732,label= 141, type=benign
hazard = x=-134.87775530285953,y=-217.00969960899175,label= 142, type=benign
hazard = x=-55.2860272515271,y=-169.58637641118497,label= 143, type=benign
hazard = x=48.130884114723656,y=-224.80759161326014,label= 144, type=benign
hazard = x=125.66160519393536,y=-199.87562463788737,label= 145, type=benign
hazard = x=240.2042145749282,y=-178.33954339149514,label= 146, type=benign
hazard = x=-73.50233244881373,y=-136.87716418671351,label= 147, type=benign
hazard = x=9.903090592185919,y=-97.01824684673329,label= 148, type=benign
hazard = x=87.95907202500149,y=-130.70931343925986,label= 149, type=benign
hazard = x=110.75167767141284,y=-119.58440493745712,label= 150, type=benign
hazard = x=219.94420039555385,y=-94.51000079152446,label= 151, type=benign
hazard = x=-79.1067111371895,y=-54.746686526715976,label= 152, type=benign
hazard = x=-52.076376054558665,y=-28.685710448941435,label= 153, type=benign
hazard = x=25.079900071632885,y=-12.786608612874403,label= 154, type=benign
hazard = x=150.24115728259335,y=-19.424059365366375,label= 155, type=benign
hazard = x=212.88005178712777,y=-55.9607258712434,label= 156, type=benign
hazard = x=-136.36011628929415,y=33.29915617039492,label= 157, type=benign
hazard = x=7.673124984016681,y=70.11003407820779,label= 158, type=benign
hazard = x=93.83298919960419,y=60.760456138481814,label= 159, type=benign
hazard = x=158.9802090200495,y=29.04347576946366,label= 160, type=benign
hazard = x=200.71151864426957,y=64.27152766184014,label= 161, type=benign
hazard = x=174.86470818693817,y=-316.3438136222099,label= 162, type=benign
hazard = x=143.31626888419697,y=-198.17909243302086,label= 163, type=benign
hazard = x=-136.70786262732702,y=-94.1700176339254,label= 164, type=benign
hazard = x=-14.609879511637331,y=-98.97372154764336,label= 165, type=benign
hazard = x=1.081883183042983,y=-64.13842772146106,label= 166, type=benign
hazard = x=85.1438748864658,y=-6.476276815199711,label= 167, type=benign
hazard = x=-80.50416780887517,y=51.33060725818707,label= 168, type=benign
hazard = x=62.82124755986212,y=-0.5886461786953809,label= 169, type=benign
hazard = x=122.68169224932052,y=-202.14733091571293,label= 170, type=benign
hazard = x=-40.28510298427042,y=-59.921960045650266,label= 171, type=benign
hazard = x=136.10805101285018,y=-199.37073739428936,label= 172, type=benign
hazard = x=-28.36428851507044,y=-72.26573491376698,label= 173, type=benign
hazard = x=-133.2209864653023,y=-312.86594199012586,label= 174, type=benign
hazard = x=-31.752299856535643,y=-316.4791443195767,label= 175, type=benign
hazard = x=23.80293052651758,y=-269.8799377676662,label= 176, type=benign
hazard = x=115.86838609278111,y=-304.003384246826,label= 177, type=benign
hazard = x=249.14043306900743,y=-269.0024070286686,label= 178, type=benign
hazard = x=-78.30818748562352,y=-238.25535760174233,label= 179, type=benign
hazard = x=5.2408177686415485,y=-201.99576892078878,label= 180, type=benign
hazard = x=22.377842843513406,y=-240.72576994160502,label= 181, type=benign
hazard = x=165.78837257210506,y=-181.56260973447115,label= 182, type=benign
hazard = x=256.63803837938957,y=-240.25474165268744,label= 183, type=benign
hazard = x=-69.7272082883155,y=-96.70396617693117,label= 184, type=benign
hazard = x=18.18947516930568,y=-160.22121411329206,label= 185, type=benign
hazard = x=85.82199976397597,y=-111.02665157607566,label= 186, type=benign
hazard = x=149.30595067284625,y=-140.1656028584435,label= 187, type=benign
hazard = x=195.52664715831185,y=-151.6074819146058,label= 188, type=benign
hazard = x=-96.02024981935429,y=-10.22606424767514,label= 189, type=benign
hazard = x=-57.048241300811256,y=-34.780218033950845,label= 190, type=benign
hazard = x=55.7723329873996,y=-71.76273600562678,label= 191, type=benign
hazard = x=110.65989868921218,y=-19.645661736062863,label= 192, type=benign
hazard = x=189.5708290583602,y=-15.175980325448748,label= 193, type=benign
hazard = x=-124.2275774037874,y=15.399748302262026,label= 194, type=benign
hazard = x=-19.242473183765128,y=73.13835762786074,label= 195, type=benign
hazard = x=84.47909304524106,y=67.6005198120111,label= 196, type=benign
hazard = x=127.24613046349509,y=36.86464068017759,label= 197, type=benign
hazard = x=222.07431261731358,y=27.656193604231664,label= 198, type=benign
hazard = x=72.88045066575796,y=-318.21262260527993,label= 199, type=benign
hazard = x=142.3358421718816,y=-316.44561035056125,label= 200, type=benign
hazard = x=243.12196471358527,y=-303.8139771522227,label= 201, type=benign
hazard = x=-33.52749797332858,y=-224.4891431291217,label= 202, type=benign
hazard = x=54.329556761609176,y=-229.39868301961008,label= 203, type=benign
hazard = x=140.93786035269727,y=-236.35549296213605,label= 204, type=benign
hazard = x=248.4945165514665,y=-200.9875796095988,label= 205, type=benign
hazard = x=-125.78213607681563,y=-95.46517573251847,label= 206, type=benign
hazard = x=-39.57193916112966,y=-115.78659489557802,label= 207, type=benign
hazard = x=43.66801085913498,y=-158.3487333470737,label= 208, type=benign
hazard = x=144.71581487316138,y=-146.26516230793237,label= 209, type=benign
hazard = x=9.12127903675237,y=-83.824303668966,label= 210, type=benign
hazard = x=25.290819560300793,y=-26.35870056923804,label= 211, type=benign
hazard = x=115.37796253923645,y=-60.46892269420356,label= 212, type=benign
hazard = x=-70.73317662063394,y=10.521463676266722,label= 213, type=benign
hazard = x=-24.93101687923952,y=15.97324543011019,label= 214, type=benign
hazard = x=98.53958455172642,y=28.407988403250016,label= 215, type=benign
hazard = x=166.51768908587917,y=-230.9653928017465,label= 216, type=benign
hazard = x=-33.64025635311093,y=-46.12882875181827,label= 217, type=benign
hazard = x=-93.77310251805089,y=-245.4204680516865,label= 218, type=benign
hazard = x=-24.87631127938895,y=-254.96253514730418,label= 219, type=benign
hazard = x=43.98676720453736,y=-277.8919513193087,label= 220, type=benign
hazard = x=160.94463491698912,y=-287.16077283224394,label= 221, type=benign
hazard = x=238.18547199721326,y=-277.9807097564885,label= 222, type=benign
hazard = x=-88.69633259322333,y=-177.8149084018761,label= 223, type=benign
hazard = x=-31.73803975677837,y=-232.45859063812767,label= 224, type=benign
hazard = x=80.03084284200938,y=-217.63085967539337,label= 225, type=benign
hazard = x=141.77045880059995,y=-242.79632753472671,label= 226, type=benign
hazard = x=253.9092610410144,y=-181.30565244961576,label= 227, type=benign
hazard = x=-94.85929268283394,y=-138.76902265022872,label= 228, type=benign
hazard = x=-49.941572721389754,y=-115.42079399288502,label= 229, type=benign
hazard = x=53.08561409441536,y=-95.26163199387045,label= 230, type=benign
hazard = x=121.58185398944728,y=-134.25964903776202,label= 231, type=benign
hazard = x=245.77714103981975,y=-90.06734505327508,label= 232, type=benign
hazard = x=-104.45473467110148,y=-77.42458259244432,label= 233, type=benign
hazard = x=-14.8177034619763,y=-30.004073429597987,label= 234, type=benign
hazard = x=46.48640582701468,y=-61.01091896368762,label= 235, type=benign
hazard = x=116.993069704872,y=-51.43496378257465,label= 236, type=benign
hazard = x=229.70851749410113,y=-66.29333920574005,label= 237, type=benign
hazard = x=-75.77920112828498,y=4.796718262236043,label= 238, type=benign
hazard = x=-52.8460353108345,y=18.180992858157865,label= 239, type=benign
hazard = x=77.71831819590976,y=41.815822473852194,label= 240, type=benign
hazard = x=128.8427877765261,y=-1.292335416777025,label= 241, type=benign
hazard = x=232.12540985963264,y=62.74644836374328,label= 242, type=benign
hazard = x=-110.89052481694382,y=-314.2047382812759,label= 243, type=benign
hazard = x=-30.945517830758178,y=-318.43370908429625,label= 244, type=benign
hazard = x=35.2386239711268,y=-246.48771801953276,label= 245, type=benign
hazard = x=157.94924828200644,y=-263.2326455720092,label= 246, type=benign
hazard = x=251.87864223667572,y=-259.4525814174198,label= 247, type=benign
hazard = x=-111.93489582509025,y=-191.39705493932593,label= 248, type=benign
hazard = x=-15.508051052518297,y=-206.2164571179347,label= 249, type=benign
hazard = x=84.9399050104233,y=-234.20726912354056,label= 250, type=benign
hazard = x=155.143422096096,y=-166.68909453276302,label= 251, type=benign
hazard = x=215.15554574200672,y=-186.52377984776,label= 252, type=benign
hazard = x=-62.54439258965682,y=-102.26338869537277,label= 253, type=benign
hazard = x=3.9298252070982755,y=-94.9303755668957,label= 254, type=benign
hazard = x=92.21386431142162,y=-139.5263185231835,label= 255, type=benign
hazard = x=171.37857102152768,y=-110.04016595729021,label= 256, type=benign
hazard = x=245.41365128092272,y=-114.91420799788932,label= 257, type=benign
hazard = x=-116.51971533459977,y=-65.48360433229078,label= 258, type=benign
hazard = x=-43.11029923757022,y=-50.9513011696042,label= 259, type=benign
hazard = x=71.14150983064818,y=-26.452736571745703,label= 260, type=benign
hazard = x=175.85114912422927,y=-80.34781034921187,label= 261, type=benign
hazard = x=193.64831889060133,y=-10.776605710348221,label= 262, type=benign
hazard = x=-108.68862925940851,y=14.562506798411953,label= 263, type=benign
hazard = x=-39.42837315315877,y=72.78206166365851,label= 264, type=benign
hazard = x=93.67044840778614,y=64.80400884814647,label= 265, type=benign
hazard = x=153.60393701834192,y=35.30541326149705,label= 266, type=benign
hazard = x=183.19763661112654,y=34.618609322036725,label= 267, type=benign
hazard = x=143.76775872875643,y=-234.0903923414944,label= 268, type=benign
hazard = x=-20.39894299987369,y=-30.981305752509527,label= 269, type=benign
hazard = x=156.39318162795706,y=-175.84606169398396,label= 270, type=benign
hazard = x=14.335795373881652,y=-55.72766300698658,label= 271, type=benign
hazard = x=121.09098324325379,y=-271.9596383808183,label= 272, type=benign
hazard = x=127.38990237891025,y=-191.10733038091215,label= 273, type=benign
hazard = x=-103.20845587774907,y=-85.02242614108398,label= 274, type=benign
hazard = x=-55.07456309183475,y=-96.33140836568711,label= 275, type=benign
hazard = x=-32.023002920542126,y=-81.53110743579705,label= 276, type=benign
hazard = x=70.85914400370544,y=-20.45488889020639,label= 277, type=benign
hazard = x=-124.28419397886384,y=19.97268776603097,label= 278, type=benign
hazard = x=74.49753771349577,y=17.11734413465407,label= 279, type=benign
hazard = x=126.93412562994915,y=-185.35843169399504,label= 280, type=benign
hazard = x=-58.42535786388843,y=-82.23102937327029,label= 281, type=benign
hazard = x=158.67994031172174,y=-168.0135998513472,label= 282, type=benign
hazard = x=-21.10456884064876,y=-49.612304965016435,label= 283, type=benign
hazard = x=129.52008747723426,y=-215.3555282236312,label= 284, type=benign
hazard = x=-24.34859989730998,y=-14.791781901277517,label= 285, type=benign
hazard = x=122.02680074970522,y=-231.943966548124,label= 286, type=benign
hazard = x=14.746510844225782,y=-32.14498140592055,label= 287, type=benign
hazard = x=153.59998688850493,y=-193.54821973468603,label= 288, type=benign
hazard = x=17.742791627933514,y=-23.726348468665982,label= 289, type=benign
hazard = x=137.85499320785374,y=-166.5692954777905,label= 290, type=benign
hazard = x=14.662086929909464,y=-45.43207808038619,label= 291, type=benign
hazard = x=131.8049678529826,y=-281.7246118211736,label= 292, type=benign
hazard = x=164.59192461970792,y=-183.6770930235065,label= 293, type=benign
hazard = x=-126.64766561830086,y=-111.05701531575042,label= 294, type=benign
hazard = x=-25.526239115804444,y=-107.98342399692636,label= 295, type=benign
hazard = x=-21.755097600688224,y=-16.817992109165402,label= 296, type=benign
hazard = x=86.68496566050689,y=-14.068479710974174,label= 297, type=benign
hazard = x=-108.85926876325718,y=69.16352555550857,label= 298, type=benign
hazard = x=20.385091890326116,y=70.64555091541743,label= 299, type=benign
hazard = x=149.4327166357078,y=-235.2728789437339,label= 300, type=benign
hazard = x=15.251614694874434,y=-43.16046231111062,label= 301, type=benign
hazard = x=96.62468699301012,y=-306.47816899890626,label= 302, type=benign
hazard = x=152.94604032583578,y=-311.6280214579814,label= 303, type=benign
hazard = x=196.80117551449484,y=-308.64178030616796,label= 304, type=benign
hazard = x=-5.009677622925352,y=-213.61481986641985,label= 305, type=benign
hazard = x=82.49777255487453,y=-225.35841454145896,label= 306, type=benign
hazard = x=99.16788195274387,y=-168.81628977566143,label= 307, type=benign
hazard = x=250.25474744403792,y=-192.83496937523134,label= 308, type=benign
hazard = x=-61.4255460847113,y=-149.1275350844612,label= 309, type=benign
hazard = x=-52.60446413758201,y=-121.54297729768234,label= 310, type=benign
hazard = x=82.40451794892198,y=-155.1613713219712,label= 311, type=benign
hazard = x=155.7108162155893,y=-161.62854857682524,label= 312, type=benign
hazard = x=-6.234652248615674,y=-63.67451473138098,label= 313, type=benign
hazard = x=32.6438782196002,y=-83.99876101868436,label= 314, type=benign
hazard = x=139.23347561898822,y=-54.83958197657536,label= 315, type=benign
hazard = x=-83.47955195533777,y=26.07940723890033,label= 316, type=benign
hazard = x=6.2082299613443155,y=75.83436473786614,label= 317, type=benign
hazard = x=94.03830121141537,y=51.445146686031435,label= 318, type=benign
hazard = x=178.9245567061323,y=-165.46694356338026,label= 319, type=benign
hazard = x=-53.630358149521406,y=-8.810755562635094,label= 320, type=benign
hazard = x=101.05019874899037,y=-201.6522167752272,label= 321, type=benign
hazard = x=-4.823685794483836,y=-65.71851828431326,label= 322, type=benign
hazard = x=57.96616557634496,y=-307.5828056892116,label= 323, type=benign
hazard = x=119.52171013587426,y=-284.7690605219654,label= 324, type=benign
hazard = x=180.91928919959926,y=-249.556768873924,label= 325, type=benign
hazard = x=16.15730838788518,y=-167.16710256954167,label= 326, type=benign
hazard = x=98.39673401884018,y=-231.45879989411202,label= 327, type=benign
hazard = x=119.0947989938695,y=-241.12703829341456,label= 328, type=benign
hazard = x=254.6569095998144,y=-229.47549057138704,label= 329, type=benign
hazard = x=-67.3173065177598,y=-110.60767384040766,label= 330, type=benign
hazard = x=-19.11533731589477,y=-104.03789464610222,label= 331, type=benign
hazard = x=23.05344596629981,y=-103.5980564167564,label= 332, type=benign
hazard = x=113.41827762008816,y=-106.5650265419928,label= 333, type=benign
hazard = x=-53.04554242659175,y=-23.97423506950979,label= 334, type=benign
hazard = x=90.52237872711426,y=-60.206113963304944,label= 335, type=benign
hazard = x=150.39441582163028,y=-46.69606782962805,label= 336, type=benign
hazard = x=-107.41569654882758,y=33.76878009448904,label= 337, type=benign
hazard = x=-0.04625348868591317,y=46.9020057605708,label= 338, type=benign
hazard = x=95.44721163801601,y=31.94258241017397,label= 339, type=benign
hazard = x=172.95679596366747,y=-221.2487171850441,label= 340, type=benign
hazard = x=-46.218139926078834,y=-33.64538303819872,label= 341, type=benign
hazard = x=146.96532987554815,y=-249.57082775214027,label= 342, type=benign
hazard = x=128.4639439487948,y=-231.40139645118728,label= 343, type=benign
hazard = x=-82.9875952314708,y=-113.96560317433588,label= 344, type=benign
hazard = x=-21.909289805069747,y=-113.55090126366156,label= 345, type=benign
hazard = x=-33.4138870355273,y=-63.08153236689345,label= 346, type=benign
hazard = x=89.38745054665937,y=-66.37979043122262,label= 347, type=benign
hazard = x=-70.13002496943909,y=17.76972522787601,label= 348, type=benign
hazard = x=66.84519005409733,y=43.673579687895966,label= 349, type=benign
hazard = x=-99.64270752889288,y=-260.90041303795545,label= 350, type=benign
hazard = x=2.572253539162844,y=-247.40194320106409,label= 351, type=benign
hazard = x=36.469470804138794,y=-275.0536639258228,label= 352, type=benign
hazard = x=152.66753207767033,y=-283.92888360565405,label= 353, type=benign
hazard = x=256.74281039745216,y=-300.70442381061395,label= 354, type=benign
hazard = x=-121.21304028079543,y=-195.89465919918752,label= 355, type=benign
hazard = x=-27.319405283267542,y=-239.58149394470385,label= 356, type=benign
hazard = x=39.236185144656,y=-235.07380996627978,label= 357, type=benign
hazard = x=115.5353995621931,y=-212.44521186559538,label= 358, type=benign
hazard = x=222.36259226410127,y=-231.67269727512843,label= 359, type=benign
hazard = x=-93.48825753205226,y=-139.01631552455518,label= 360, type=benign
hazard = x=4.680195416550205,y=-127.06400126576207,label= 361, type=benign
hazard = x=42.33386074886967,y=-125.55605769163243,label= 362, type=benign
hazard = x=164.6542449056269,y=-91.21780873441102,label= 363, type=benign
hazard = x=254.19779732625483,y=-141.9487663602729,label= 364, type=benign
hazard = x=-81.96510504768915,y=-59.75370437440431,label= 365, type=benign
hazard = x=14.438911517433752,y=-39.010607076120436,label= 366, type=benign
hazard = x=86.05442948737027,y=-47.06049956962072,label= 367, type=benign
hazard = x=151.55503874773197,y=-83.79404125647702,label= 368, type=benign
hazard = x=246.88115302703363,y=-31.826327339641267,label= 369, type=benign
hazard = x=-113.60396509664628,y=74.09293952099344,label= 370, type=benign
hazard = x=16.82834390376435,y=12.915689800731073,label= 371, type=benign
hazard = x=76.69736504316049,y=57.188596285035004,label= 372, type=benign
hazard = x=125.0301806241048,y=25.940779238972837,label= 373, type=benign
hazard = x=242.06735195574078,y=42.619418245324304,label= 374, type=benign
hazard = x=169.98248731882268,y=-172.17933229038965,label= 375, type=benign
hazard = x=-35.14145033750077,y=-29.008837856891574,label= 376, type=benign
hazard = x=152.44606762292375,y=-203.39317553434333,label= 377, type=benign
hazard = x=4.411078597113118,y=-47.51446619482617,label= 378, type=benign
hazard = x=31.953342290469394,y=-271.62292845793235,label= 379, type=benign
hazard = x=146.2327339540755,y=-276.953812060435,label= 380, type=benign
hazard = x=193.3134190879673,y=-273.75474975037844,label= 381, type=benign
hazard = x=3.0354015632190965,y=-227.3558499960537,label= 382, type=benign
hazard = x=64.1090570701144,y=-227.59225871785884,label= 383, type=benign
hazard = x=164.98596329897498,y=-164.94165910276953,label= 384, type=benign
hazard = x=188.0415253208659,y=-223.89201933924755,label= 385, type=benign
hazard = x=-77.75496657183123,y=-133.72501662535177,label= 386, type=benign
hazard = x=-36.721092240251586,y=-147.13713825815793,label= 387, type=benign
hazard = x=98.02566936944409,y=-98.16270131497902,label= 388, type=benign
hazard = x=142.50025431552757,y=-95.30447010152143,label= 389, type=benign
hazard = x=-18.57635674202001,y=-33.85400837778546,label= 390, type=benign
hazard = x=80.10793771139028,y=-61.08233061085959,label= 391, type=benign
hazard = x=155.12562530361222,y=-35.73562831930315,label= 392, type=benign
hazard = x=-123.22026506244548,y=29.706719250687826,label= 393, type=benign
hazard = x=-41.22876276215978,y=12.406458981846377,label= 394, type=benign
hazard = x=42.74223548299292,y=7.073062287613418,label= 395, type=benign
hazard = x=126.76451783935701,y=-279.86617171121827,label= 396, type=benign
